Wall time,Step,Value
1493071980.260658,46508,1.0
1493071988.63203,46696,1.0
1493071990.983674,46748,1.0
1493072008.111862,47036,1.0
1493072009.074754,47057,1.0
1493072015.465241,47198,1.0
1493072017.415373,47241,1.0
1493072019.806466,47294,1.0
1493072020.117372,47301,1.0
1493072021.022197,47321,1.0
1493072022.202513,47347,1.0
1493072026.287541,47437,1.0
1493072028.651695,47489,0.9609375
1493072031.375735,47549,0.984375
1493072031.697247,47556,1.0
1493072033.007763,47585,1.0
1493072035.425613,47638,1.0
1493072035.602791,47642,1.0
1493072036.188428,47655,1.0
1493072036.821736,47669,1.0
1493072037.920786,47693,1.0
1493072038.458067,47705,1.0
1493072039.930424,47737,1.0
1493072040.24297,47744,1.0
1493072040.894588,47758,1.0
1493072046.04054,47871,1.0
1493072046.535723,47882,1.0
1493072046.801208,47888,1.0
1493072048.661626,47929,1.0
1493072048.842234,47933,1.0
1493072049.482435,47947,1.0
1493072050.508828,47970,1.0
1493072059.222174,48076,1.0
1493072061.122815,48119,1.0
1493072063.923361,48181,1.0
1493072064.648613,48197,1.0
1493072066.001603,48227,1.0
1493072074.737134,48421,1.0
1493072076.759068,48466,1.0
1493072078.915287,48514,1.0
1493072079.278024,48522,1.0
1493072084.167513,48630,1.0
1493072085.060595,48650,1.0
1493072093.870026,48844,1.0
1493072100.16078,48982,1.0
1493072117.374304,49272,1.0
1493072119.817064,49326,1.0
1493072120.951408,49351,1.0
1493072126.679974,49477,1.0
1493072130.35037,49558,1.0
1493072133.126982,49619,1.0
1493072133.998492,49638,1.0
1493072136.656617,49697,1.0
1493072141.887186,49813,1.0
1493072145.432376,49892,1.0
1493072154.61067,50006,1.0
1493072156.914486,50056,1.0
1493072158.595846,50093,1.0
1493072161.109341,50149,1.0
1493072161.831367,50165,1.0
1493072163.195118,50195,1.0
1493072166.479303,50268,1.0
1493072171.609759,50382,1.0
1493072175.566312,50470,1.0
1493072178.617358,50538,1.0
1493072182.720235,50629,1.0
1493072182.808363,50631,1.0
1493072183.082064,50637,1.0
1493072191.313253,50819,1.0
1493072198.516881,50979,1.0
1493072204.056224,51015,1.0
1493072209.327294,51130,1.0
1493072209.512114,51134,1.0
1493072213.729471,51227,1.0
1493072216.206143,51282,1.0
1493072218.956476,51342,1.0
1493072223.232286,51437,1.0
1493072232.495518,51641,1.0
1493072237.417278,51750,1.0
1493072239.414839,51794,1.0
1493072239.596677,51798,1.0
1493072239.962965,51806,1.0
1493072246.626631,51954,1.0
1493072252.748092,52001,1.0
1493072255.722557,52067,1.0
1493072255.821284,52069,1.0
1493072263.445607,52237,1.0
